index,unit1_rgb,unit2_pos,unit1_beam_32,unit1_beam_64
48,../../../Scenario5/unit1/camera_data/image_BS1_308_03_20_37.jpg,"[0.3622873093775134, 0.8798701296379362]",19,37
1760,../../../Scenario5/unit1/camera_data/image_BS1_7004_03_34_54.jpg,"[0.6359680630506591, 0.05952380951831677]",2,3
1744,../../../Scenario5/unit1/camera_data/image_BS1_6850_03_34_35.jpg,"[0.6769770735337594, 0.7326839824457969]",7,14
2083,../../../Scenario5/unit1/camera_data/image_BS1_9261_03_39_46.jpg,"[0.15695490651439628, 0.9437229435351914]",30,59
2269,../../../Scenario5/unit1/camera_data/image_BS1_9894_03_41_08.jpg,"[0.5305309825288571, 0.8603896102403074]",15,29
2089,../../../Scenario5/unit1/camera_data/image_BS1_9268_03_39_47.jpg,"[0.264218714721332, 0.9242424241375625]",26,52
2200,../../../Scenario5/unit1/camera_data/image_BS1_9524_03_40_21.jpg,"[0.305474025573519, 0.12770562779451047]",23,45
955,../../../Scenario5/unit1/camera_data/image_BS1_3931_03_28_20.jpg,"[0.0601588637384255, 0.11796536786500036]",29,58
7,../../../Scenario5/unit1/camera_data/image_BS1_265_03_20_32.jpg,"[0.08140227006535979, 0.9329004327416424]",30,59
2300,../../../Scenario5/unit1/camera_data/image_BS1_9928_03_41_13.jpg,"[1.0, 0.8409090908426785]",2,2
41,../../../Scenario5/unit1/camera_data/image_BS1_301_03_20_36.jpg,"[0.31936947106680524, 0.8885281383958131]",21,42
1319,../../../Scenario5/unit1/camera_data/image_BS1_5111_03_30_52.jpg,"[0.27281870240321815, 0.8138528138588059]",23,45
1220,../../../Scenario5/unit1/camera_data/image_BS1_4825_03_30_15.jpg,"[0.4351306418249322, 0.09956709948520759]",13,26
738,../../../Scenario5/unit1/camera_data/image_BS1_3330_03_27_04.jpg,"[0.5586913240763516, 0.051948051932073025]",6,11
1277,../../../Scenario5/unit1/camera_data/image_BS1_4883_03_30_22.jpg,"[0.21058681061057222, 0.10281385284631]",24,47
1481,../../../Scenario5/unit1/camera_data/image_BS1_5918_03_32_35.jpg,"[0.42189199729643184, 0.07359307351917108]",12,23
986,../../../Scenario5/unit1/camera_data/image_BS1_4097_03_28_42.jpg,"[0.34670881139373344, 0.8344155842742709]",20,39
1066,../../../Scenario5/unit1/camera_data/image_BS1_4350_03_29_14.jpg,"[0.3055561257014092, 0.09415584424223021]",20,39
2141,../../../Scenario5/unit1/camera_data/image_BS1_9464_03_40_13.jpg,"[0.7391884403090166, 0.10497835503577924]",4,6
2072,../../../Scenario5/unit1/camera_data/image_BS1_8630_03_38_24.jpg,"[0.17156872806838608, 0.08441558446651723]",26,52
1326,../../../Scenario5/unit1/camera_data/image_BS1_5118_03_30_53.jpg,"[0.34309640607282704, 0.7997835497041546]",20,39
737,../../../Scenario5/unit1/camera_data/image_BS1_3329_03_27_04.jpg,"[0.5666550358108404, 0.050865800914236974]",6,11
1766,../../../Scenario5/unit1/camera_data/image_BS1_7010_03_34_55.jpg,"[0.5537447917793169, 0.061688311707786]",6,11
1917,../../../Scenario5/unit1/camera_data/image_BS1_7864_03_36_45.jpg,"[0.1108556885104535, 0.13528138522695707]",28,55
1856,../../../Scenario5/unit1/camera_data/image_BS1_7449_03_35_51.jpg,"[0.7784117731563444, 0.7911255409462776]",3,5
1148,../../../Scenario5/unit1/camera_data/image_BS1_4619_03_29_49.jpg,"[0.45522464646349114, 0.7792207791348925]",15,29
960,../../../Scenario5/unit1/camera_data/image_BS1_4070_03_28_38.jpg,"[0.038258656432121396, 0.9080086581010361]",30,58
1263,../../../Scenario5/unit1/camera_data/image_BS1_4869_03_30_21.jpg,"[0.28798669977671504, 0.10389610386414605]",21,42
599,../../../Scenario5/unit1/camera_data/image_BS1_2593_03_25_30.jpg,"[0.29859814043148786, 0.0930735929167999]",20,39
1418,../../../Scenario5/unit1/camera_data/image_BS1_5371_03_31_25.jpg,"[0.3123704357475227, 0.0]",19,37
984,../../../Scenario5/unit1/camera_data/image_BS1_4094_03_28_41.jpg,"[0.3088401305399226, 0.8398268395172482]",22,43
109,../../../Scenario5/unit1/camera_data/image_BS1_568_03_21_10.jpg,"[0.6889636912140217, 0.08008658008757877]",2,2
2003,../../../Scenario5/unit1/camera_data/image_BS1_8119_03_37_17.jpg,"[0.7151331048206019, 0.7705627705308127]",4,8
1419,../../../Scenario5/unit1/camera_data/image_BS1_5372_03_31_25.jpg,"[0.30379097309760916, 0.0]",20,39
564,../../../Scenario5/unit1/camera_data/image_BS1_2558_03_25_25.jpg,"[0.4411239506650633, 0.08658008665598646]",12,24
786,../../../Scenario5/unit1/camera_data/image_BS1_3379_03_27_10.jpg,"[0.21397344060894838, 0.05627705615721436]",25,48
2283,../../../Scenario5/unit1/camera_data/image_BS1_9908_03_41_10.jpg,"[0.7127727263333498, 0.835497835445904]",9,18
121,../../../Scenario5/unit1/camera_data/image_BS1_580_03_21_12.jpg,"[0.6202253648256826, 0.0790043289159456]",4,6
1959,../../../Scenario5/unit1/camera_data/image_BS1_8075_03_37_12.jpg,"[0.25262207261938036, 0.8528138526540636]",23,45
1630,../../../Scenario5/unit1/camera_data/image_BS1_6497_03_33_49.jpg,"[0.43636214364119774, 0.03896103879525764]",12,23
1986,../../../Scenario5/unit1/camera_data/image_BS1_8102_03_37_15.jpg,"[0.5116479546745911, 0.8030303030652569]",12,23
615,../../../Scenario5/unit1/camera_data/image_BS1_2609_03_25_32.jpg,"[0.18817347756329003, 0.10497835503577924]",26,52
108,../../../Scenario5/unit1/camera_data/image_BS1_567_03_21_10.jpg,"[0.695039100182043, 0.08008658008757877]",2,2
2138,../../../Scenario5/unit1/camera_data/image_BS1_9461_03_40_12.jpg,"[0.7632437757828475, 0.10389610386414605]",4,6
1903,../../../Scenario5/unit1/camera_data/image_BS1_7850_03_36_43.jpg,"[0.24098438045348358, 0.12878787881234652]",22,43
2114,../../../Scenario5/unit1/camera_data/image_BS1_9294_03_39_51.jpg,"[0.6153609326565381, 0.8896103894136491]",12,22
315,../../../Scenario5/unit1/camera_data/image_BS1_1067_03_22_15.jpg,"[0.7993883540968033, 0.7976190475146853]",2,3
2176,../../../Scenario5/unit1/camera_data/image_BS1_9500_03_40_17.jpg,"[0.4768785534007086, 0.12121212122610277]",13,26
1624,../../../Scenario5/unit1/camera_data/image_BS1_6491_03_33_49.jpg,"[0.4723835717633183, 0.03896103879525764]",11,20
1592,../../../Scenario5/unit1/camera_data/image_BS1_6289_03_33_23.jpg,"[0.7789659489758515, 0.7976190475146853]",3,6
2174,../../../Scenario5/unit1/camera_data/image_BS1_9498_03_40_17.jpg,"[0.49065084871674347, 0.12012987020826672]",12,22
2246,../../../Scenario5/unit1/camera_data/image_BS1_9870_03_41_05.jpg,"[0.3066439523084508, 0.9361471859489476]",26,51
637,../../../Scenario5/unit1/camera_data/image_BS1_2805_03_25_57.jpg,"[0.031177520984948665, 0.8993506491893621]",30,59
2120,../../../Scenario5/unit1/camera_data/image_BS1_9301_03_39_52.jpg,"[0.7119312000953948, 0.8841991341706718]",8,6
971,../../../Scenario5/unit1/camera_data/image_BS1_4081_03_28_40.jpg,"[0.14956589561680314, 0.8690476189981843]",27,54
1922,../../../Scenario5/unit1/camera_data/image_BS1_7869_03_36_45.jpg,"[0.07033927875094263, 0.13744588757022344]",30,59
558,../../../Scenario5/unit1/camera_data/image_BS1_2552_03_25_24.jpg,"[0.46376305904945964, 0.08441558446651723]",11,22
1560,../../../Scenario5/unit1/camera_data/image_BS1_6256_03_33_18.jpg,"[0.40926910366877234, 0.8409090908426785]",18,34
2236,../../../Scenario5/unit1/camera_data/image_BS1_9860_03_41_04.jpg,"[0.23269226822201788, 0.9653679652760866]",27,54
2249,../../../Scenario5/unit1/camera_data/image_BS1_9874_03_41_06.jpg,"[0.3391761252869164, 0.9220779219480933]",24,46
1789,../../../Scenario5/unit1/camera_data/image_BS1_7033_03_34_58.jpg,"[0.2322612425943461, 0.08008658008757877]",22,42
416,../../../Scenario5/unit1/camera_data/image_BS1_2032_03_24_18.jpg,"[0.3463804109113405, 0.07251082250133503]",17,34
655,../../../Scenario5/unit1/camera_data/image_BS1_2823_03_25_59.jpg,"[0.21142833686311105, 0.8387445884994121]",25,49
1232,../../../Scenario5/unit1/camera_data/image_BS1_4838_03_30_17.jpg,"[0.39194597812774873, 0.10173160182847395]",15,29
1751,../../../Scenario5/unit1/camera_data/image_BS1_6858_03_34_36.jpg,"[0.7833993555173241, 0.7164502164092704]",3,6
243,../../../Scenario5/unit1/camera_data/image_BS1_995_03_22_05.jpg,"[0.15030479669489533, 0.83658008646374]",28,54
2124,../../../Scenario5/unit1/camera_data/image_BS1_9306_03_39_52.jpg,"[0.7833377804214064, 0.8820346318274054]",6,11
481,../../../Scenario5/unit1/camera_data/image_BS1_2286_03_24_50.jpg,"[0.47960838241971493, 0.7846320346854642]",15,29
1334,../../../Scenario5/unit1/camera_data/image_BS1_5126_03_30_54.jpg,"[0.42047577020699733, 0.7867965367211363]",17,33
840,../../../Scenario5/unit1/camera_data/image_BS1_3628_03_27_42.jpg,"[0.3144024137377981, 0.774891774755954]",22,42
1519,../../../Scenario5/unit1/camera_data/image_BS1_5958_03_32_40.jpg,"[0.0740337841997392, 0.09848484846737154]",30,60
1711,../../../Scenario5/unit1/camera_data/image_BS1_6817_03_34_30.jpg,"[0.2606268344323982, 0.8181818179301501]",24,46
422,../../../Scenario5/unit1/camera_data/image_BS1_2038_03_24_19.jpg,"[0.27727263397666335, 0.0790043289159456]",22,43
528,../../../Scenario5/unit1/camera_data/image_BS1_2522_03_25_21.jpg,"[0.5914903224558763, 0.07251082250133503]",4,7
127,../../../Scenario5/unit1/camera_data/image_BS1_586_03_21_13.jpg,"[0.5874263664607418, 0.0790043289159456]",6,11
995,../../../Scenario5/unit1/camera_data/image_BS1_4107_03_28_43.jpg,"[0.48182508569774324, 0.8170995669123141]",15,28
259,../../../Scenario5/unit1/camera_data/image_BS1_1011_03_22_07.jpg,"[0.2843332443918635, 0.8192640691017833]",23,45
1565,../../../Scenario5/unit1/camera_data/image_BS1_6261_03_33_19.jpg,"[0.46318835819798004, 0.8333333332564348]",15,28
645,../../../Scenario5/unit1/camera_data/image_BS1_2813_03_25_58.jpg,"[0.11200509021341275, 0.8679653678265511]",28,55
1416,../../../Scenario5/unit1/camera_data/image_BS1_5369_03_31_25.jpg,"[0.3292830606928471, 0.0]",19,37
675,../../../Scenario5/unit1/camera_data/image_BS1_2845_03_26_02.jpg,"[0.41359988506496614, 0.805194805100929]",17,33
1028,../../../Scenario5/unit1/camera_data/image_BS1_4311_03_29_09.jpg,"[0.6607828246491385, 0.05844155850048072]",2,3
1381,../../../Scenario5/unit1/camera_data/image_BS1_5334_03_31_20.jpg,"[0.655364216660487, 0.02489177494820046]",2,3
195,../../../Scenario5/unit1/camera_data/image_BS1_654_03_21_21.jpg,"[0.2774778842818049, 0.10497835503577924]",22,42
1178,../../../Scenario5/unit1/camera_data/image_BS1_4649_03_29_53.jpg,"[0.7594876952381333, 0.743506493393143]",4,6
1233,../../../Scenario5/unit1/camera_data/image_BS1_4839_03_30_17.jpg,"[0.3889698487250718, 0.10173160182847395]",15,29
2299,../../../Scenario5/unit1/camera_data/image_BS1_9926_03_41_12.jpg,"[0.9687198538551886, 0.8387445884994121]",3,6
1593,../../../Scenario5/unit1/camera_data/image_BS1_6290_03_33_23.jpg,"[0.790336815740689, 0.7976190475146853]",3,6
1087,../../../Scenario5/unit1/camera_data/image_BS1_4371_03_29_17.jpg,"[0.11968145152945374, 0.11580086582932826]",28,55
1436,../../../Scenario5/unit1/camera_data/image_BS1_5389_03_31_27.jpg,"[0.14619979065039954, 0.032467532534444205]",27,54
805,../../../Scenario5/unit1/camera_data/image_BS1_3399_03_27_13.jpg,"[0.07754356437536675, 0.05844155850048072]",30,60
66,../../../Scenario5/unit1/camera_data/image_BS1_326_03_20_39.jpg,"[0.4755033763606352, 0.8528138526540636]",15,28
2140,../../../Scenario5/unit1/camera_data/image_BS1_9463_03_40_13.jpg,"[0.7470290018662541, 0.10389610386414605]",2,3
283,../../../Scenario5/unit1/camera_data/image_BS1_1035_03_22_11.jpg,"[0.49227232609673566, 0.7987012985325214]",14,27
680,../../../Scenario5/unit1/camera_data/image_BS1_2850_03_26_02.jpg,"[0.442027051984352, 0.8030303030652569]",15,29
560,../../../Scenario5/unit1/camera_data/image_BS1_2554_03_25_25.jpg,"[0.457420824694963, 0.08441558446651723]",12,22
2032,../../../Scenario5/unit1/camera_data/image_BS1_8589_03_38_19.jpg,"[0.5179696640116991, 0.07792207789810954]",7,14
1681,../../../Scenario5/unit1/camera_data/image_BS1_6549_03_33_56.jpg,"[0.1412122082894198, 0.04653679668909564]",28,55
51,../../../Scenario5/unit1/camera_data/image_BS1_311_03_20_37.jpg,"[0.3803698610431857, 0.876623376584428]",19,36
661,../../../Scenario5/unit1/camera_data/image_BS1_2829_03_26_00.jpg,"[0.27154615053759146, 0.8279220777058631]",23,45
2069,../../../Scenario5/unit1/camera_data/image_BS1_8627_03_38_23.jpg,"[0.19722501590482047, 0.08333333344868118]",25,49
608,../../../Scenario5/unit1/camera_data/image_BS1_2602_03_25_31.jpg,"[0.24217483220580402, 0.09848484846737154]",23,45
694,../../../Scenario5/unit1/camera_data/image_BS1_2864_03_26_04.jpg,"[0.5332608115624473, 0.7900432899284415]",11,22
18,../../../Scenario5/unit1/camera_data/image_BS1_277_03_20_33.jpg,"[0.16649904559410006, 0.9101731601367082]",26,51
1608,../../../Scenario5/unit1/camera_data/image_BS1_6473_03_33_46.jpg,"[0.6053652429171901, 0.034632034723913435]",4,7
444,../../../Scenario5/unit1/camera_data/image_BS1_2248_03_24_46.jpg,"[0.02803719135565917, 0.8885281383958131]",31,60
1579,../../../Scenario5/unit1/camera_data/image_BS1_6275_03_33_21.jpg,"[0.6134315798115416, 0.814935064876642]",9,17
1945,../../../Scenario5/unit1/camera_data/image_BS1_8061_03_37_10.jpg,"[0.14104800804822332, 0.8755411255665919]",27,53
1918,../../../Scenario5/unit1/camera_data/image_BS1_7865_03_36_45.jpg,"[0.1026046263429329, 0.13636363624479314]",28,55
1935,../../../Scenario5/unit1/camera_data/image_BS1_8051_03_37_09.jpg,"[0.06180086616497417, 0.8993506491893621]",30,59
237,../../../Scenario5/unit1/camera_data/image_BS1_988_03_22_04.jpg,"[0.09390201350118405, 0.8463203463932502]",29,58
925,../../../Scenario5/unit1/camera_data/image_BS1_3901_03_28_17.jpg,"[0.35584244986315405, 0.09523809526006626]",16,31
1116,../../../Scenario5/unit1/camera_data/image_BS1_4586_03_29_44.jpg,"[0.15943843516431597, 0.8441558440499838]",28,55
1060,../../../Scenario5/unit1/camera_data/image_BS1_4344_03_29_13.jpg,"[0.3614868331889197, 0.08658008665598646]",17,33
1366,../../../Scenario5/unit1/camera_data/image_BS1_5159_03_30_58.jpg,"[0.7379364134607787, 0.7445887444109791]",4,7
2252,../../../Scenario5/unit1/camera_data/image_BS1_9877_03_41_06.jpg,"[0.3649760883471586, 0.9123376620185832]",22,43
76,../../../Scenario5/unit1/camera_data/image_BS1_337_03_20_41.jpg,"[0.561687978496417, 0.83658008646374]",11,21
1209,../../../Scenario5/unit1/camera_data/image_BS1_4814_03_30_14.jpg,"[0.47868475605386984, 0.09523809526006626]",10,20
1172,../../../Scenario5/unit1/camera_data/image_BS1_4643_03_29_52.jpg,"[0.6943617741852846, 0.7478354976182844]",6,11
846,../../../Scenario5/unit1/camera_data/image_BS1_3634_03_27_43.jpg,"[0.37242667432608545, 0.7608225107550998]",19,37
1218,../../../Scenario5/unit1/camera_data/image_BS1_4823_03_30_15.jpg,"[0.4421502021761873, 0.09956709948520759]",12,23
322,../../../Scenario5/unit1/camera_data/image_BS1_1256_03_22_39.jpg,"[0.6610496500501978, 0.04004329012068795]",2,2
1941,../../../Scenario5/unit1/camera_data/image_BS1_8057_03_37_09.jpg,"[0.10898791076137462, 0.8841991341706718]",28,55
2016,../../../Scenario5/unit1/camera_data/image_BS1_8573_03_38_16.jpg,"[0.6857412614714259, 0.08549783563815042]",2,2
672,../../../Scenario5/unit1/camera_data/image_BS1_2842_03_26_01.jpg,"[0.3941626813911931, 0.8084415583082343]",18,34
813,../../../Scenario5/unit1/camera_data/image_BS1_3598_03_27_38.jpg,"[0.03663717903754528, 0.8733766233771227]",30,58
1893,../../../Scenario5/unit1/camera_data/image_BS1_7838_03_36_41.jpg,"[0.361794708653924, 0.1168831168471643]",15,29
2000,../../../Scenario5/unit1/camera_data/image_BS1_8116_03_37_17.jpg,"[0.6748219453662326, 0.774891774755954]",6,11
1907,../../../Scenario5/unit1/camera_data/image_BS1_7854_03_36_43.jpg,"[0.20104267154545233, 0.1320346320196518]",24,47
954,../../../Scenario5/unit1/camera_data/image_BS1_3930_03_28_20.jpg,"[0.07130395518073285, 0.1168831168471643]",29,57
1910,../../../Scenario5/unit1/camera_data/image_BS1_7857_03_36_44.jpg,"[0.17197922867866922, 0.13311688303748784]",25,49
232,../../../Scenario5/unit1/camera_data/image_BS1_983_03_22_04.jpg,"[0.052646702663580985, 0.8538961039794939]",30,59
2123,../../../Scenario5/unit1/camera_data/image_BS1_9305_03_39_52.jpg,"[0.7688676340766406, 0.8820346318274054]",7,13
1182,../../../Scenario5/unit1/camera_data/image_BS1_4653_03_29_53.jpg,"[0.8078446665694655, 0.7413419913574709]",4,6
454,../../../Scenario5/unit1/camera_data/image_BS1_2258_03_24_47.jpg,"[0.1529935756645405, 0.8419913418605146]",28,55
1177,../../../Scenario5/unit1/camera_data/image_BS1_4648_03_29_52.jpg,"[0.7479321032001267, 0.743506493393143]",3,6
1638,../../../Scenario5/unit1/camera_data/image_BS1_6505_03_33_50.jpg,"[0.3945526569695037, 0.04004329012068795]",15,29
1960,../../../Scenario5/unit1/camera_data/image_BS1_8076_03_37_12.jpg,"[0.26126311036521155, 0.8506493503107972]",23,44
809,../../../Scenario5/unit1/camera_data/image_BS1_3403_03_27_13.jpg,"[0.042466287636479944, 0.06493506506888841]",30,59
1526,../../../Scenario5/unit1/camera_data/image_BS1_6220_03_33_14.jpg,"[0.02261858336700765, 0.9188311688945852]",31,61
580,../../../Scenario5/unit1/camera_data/image_BS1_2574_03_25_27.jpg,"[0.3831612651726936, 0.08874458869165856]",16,32
509,../../../Scenario5/unit1/camera_data/image_BS1_2316_03_24_54.jpg,"[0.8579052154086801, 0.7683982683413435]",2,2
1790,../../../Scenario5/unit1/camera_data/image_BS1_7034_03_34_58.jpg,"[0.21711377023823786, 0.08116883110541483]",23,44
1081,../../../Scenario5/unit1/camera_data/image_BS1_4365_03_29_16.jpg,"[0.1718766035188065, 0.11038961027875661]",26,51
305,../../../Scenario5/unit1/camera_data/image_BS1_1057_03_22_13.jpg,"[0.6915908951023331, 0.7943722941535829]",6,11
635,../../../Scenario5/unit1/camera_data/image_BS1_2629_03_25_34.jpg,"[0.04460089078661803, 0.123376623415572]",30,62
969,../../../Scenario5/unit1/camera_data/image_BS1_4079_03_28_39.jpg,"[0.12873298988556808, 0.8755411255665919]",28,55
443,../../../Scenario5/unit1/camera_data/image_BS1_2247_03_24_45.jpg,"[0.016809999800045536, 0.8939393936387905]",30,60
1556,../../../Scenario5/unit1/camera_data/image_BS1_6252_03_33_18.jpg,"[0.361794708653924, 0.8474025974110863]",19,38
936,../../../Scenario5/unit1/camera_data/image_BS1_3912_03_28_18.jpg,"[0.25418197491803884, 0.10606060605361528]",22,42
429,../../../Scenario5/unit1/camera_data/image_BS1_2045_03_24_20.jpg,"[0.19406416124355844, 0.08766233767382252]",25,48
1490,../../../Scenario5/unit1/camera_data/image_BS1_5927_03_32_36.jpg,"[0.3490486648490131, 0.07575757586243743]",17,34
1080,../../../Scenario5/unit1/camera_data/image_BS1_4364_03_29_16.jpg,"[0.1806613164738616, 0.11038961027875661]",25,49
640,../../../Scenario5/unit1/camera_data/image_BS1_2808_03_25_57.jpg,"[0.061903491310252995, 0.8863636363601409]",30,59
2015,../../../Scenario5/unit1/camera_data/image_BS1_8131_03_37_19.jpg,"[0.8600398185588183, 0.7662337659980771]",2,2
193,../../../Scenario5/unit1/camera_data/image_BS1_652_03_21_21.jpg,"[0.2897723774124876, 0.10281385284631]",21,42
570,../../../Scenario5/unit1/camera_data/image_BS1_2564_03_25_26.jpg,"[0.41856694239397335, 0.08766233767382252]",14,27
478,../../../Scenario5/unit1/camera_data/image_BS1_2283_03_24_50.jpg,"[0.4438948297480148, 0.7878787877389724]",16,31
1316,../../../Scenario5/unit1/camera_data/image_BS1_5108_03_30_51.jpg,"[0.23893187743123567, 0.8203463201196194]",24,48
1879,../../../Scenario5/unit1/camera_data/image_BS1_7824_03_36_40.jpg,"[0.48642269248041237, 0.11363636363985903]",9,17
1578,../../../Scenario5/unit1/camera_data/image_BS1_6274_03_33_21.jpg,"[0.6024917386743758, 0.816017315894478]",9,17
293,../../../Scenario5/unit1/camera_data/image_BS1_1045_03_22_12.jpg,"[0.5802836559176513, 0.7943722941535829]",10,19
1908,../../../Scenario5/unit1/camera_data/image_BS1_7855_03_36_44.jpg,"[0.19102645675954777, 0.1320346320196518]",24,47
1071,../../../Scenario5/unit1/camera_data/image_BS1_4355_03_29_15.jpg,"[0.2606063094004257, 0.10064935050304365]",22,43
2257,../../../Scenario5/unit1/camera_data/image_BS1_9882_03_41_07.jpg,"[0.41033640524384135, 0.8971861473074871]",20,39
587,../../../Scenario5/unit1/camera_data/image_BS1_2581_03_25_28.jpg,"[0.35688922640625054, 0.08874458869165856]",17,34
673,../../../Scenario5/unit1/camera_data/image_BS1_2843_03_26_02.jpg,"[0.40097699143730664, 0.8084415583082343]",18,34
2079,../../../Scenario5/unit1/camera_data/image_BS1_8637_03_38_25.jpg,"[0.11104041378362253, 0.08874458869165856]",30,59
684,../../../Scenario5/unit1/camera_data/image_BS1_2854_03_26_03.jpg,"[0.4627368075383357, 0.7987012985325214]",14,27
1350,../../../Scenario5/unit1/camera_data/image_BS1_5143_03_30_56.jpg,"[0.5761375998092104, 0.761904761926733]",9,17
1389,../../../Scenario5/unit1/camera_data/image_BS1_5342_03_31_21.jpg,"[0.5720531187821033, 0.01948051939762882]",6,11
1423,../../../Scenario5/unit1/camera_data/image_BS1_5376_03_31_26.jpg,"[0.2686931713267498, 0.00216450234326636]",22,42
1559,../../../Scenario5/unit1/camera_data/image_BS1_6255_03_33_18.jpg,"[0.39732353605245513, 0.8409090908426785]",19,37
1288,../../../Scenario5/unit1/camera_data/image_BS1_4895_03_30_24.jpg,"[0.11391391802643672, 0.09848484846737154]",28,55
980,../../../Scenario5/unit1/camera_data/image_BS1_4090_03_28_41.jpg,"[0.2612220603012665, 0.8463203463932502]",24,46
2241,../../../Scenario5/unit1/camera_data/image_BS1_9865_03_41_05.jpg,"[0.2699041481110428, 0.9502164501035991]",25,49
1297,../../../Scenario5/unit1/camera_data/image_BS1_4904_03_30_25.jpg,"[0.03949015824838692, 0.09848484846737154]",30,59
1430,../../../Scenario5/unit1/camera_data/image_BS1_5383_03_31_26.jpg,"[0.20600972885987562, 0.015151515172487487]",25,49
949,../../../Scenario5/unit1/camera_data/image_BS1_3925_03_28_20.jpg,"[0.12583896061078134, 0.11255411262202297]",28,55
1298,../../../Scenario5/unit1/camera_data/image_BS1_5090_03_30_49.jpg,"[0.04090638533782147, 0.8701298700160203]",30,59
1133,../../../Scenario5/unit1/camera_data/image_BS1_4604_03_29_47.jpg,"[0.3222224502776469, 0.8019480517398266]",20,39
1832,../../../Scenario5/unit1/camera_data/image_BS1_7423_03_35_48.jpg,"[0.3975493113895693, 0.814935064876642]",19,37
2113,../../../Scenario5/unit1/camera_data/image_BS1_9293_03_39_51.jpg,"[0.6019170378228962, 0.8906926404314852]",12,23
2019,../../../Scenario5/unit1/camera_data/image_BS1_8576_03_38_17.jpg,"[0.6550973912740117, 0.08549783563815042]",2,4
996,../../../Scenario5/unit1/camera_data/image_BS1_4108_03_28_43.jpg,"[0.4944069292468738, 0.816017315894478]",14,27
1506,../../../Scenario5/unit1/camera_data/image_BS1_5944_03_32_38.jpg,"[0.20239732353896925, 0.08658008665598646]",25,49
2261,../../../Scenario5/unit1/camera_data/image_BS1_9886_03_41_07.jpg,"[0.4485540116120177, 0.8831168828452415]",19,38
764,../../../Scenario5/unit1/camera_data/image_BS1_3356_03_27_07.jpg,"[0.3568687013888619, 0.05952380951831677]",17,33
1499,../../../Scenario5/unit1/camera_data/image_BS1_5937_03_32_37.jpg,"[0.2644650150904187, 0.08116883110541483]",22,42
135,../../../Scenario5/unit1/camera_data/image_BS1_594_03_21_14.jpg,"[0.5519796391755168, 0.08116883110541483]",7,14
2224,../../../Scenario5/unit1/camera_data/image_BS1_9847_03_41_02.jpg,"[0.15346565137074128, 0.9967532464851004]",29,57
1732,../../../Scenario5/unit1/camera_data/image_BS1_6838_03_34_33.jpg,"[0.5253997249586534, 0.761904761926733]",13,25
