index,unit2_pos,unit1_beam_32,unit1_beam_64
39,"[0.5743829402384352, 0.07348242817956527]",9,17
40,"[0.5670919730893755, 0.0750798721741927]",10,18
41,"[0.559801005940316, 0.0758785941715064]",10,18
42,"[0.5525237436178594, 0.07747603839314428]",10,19
43,"[0.5452327764687999, 0.07827476050396322]",10,20
44,"[0.5379555141366054, 0.07907348250127694]",11,21
45,"[0.5307056614673549, 0.08067092649590435]",11,20
46,"[0.5233598750118832, 0.08146964849321807]",11,21
47,"[0.5160140885661494, 0.08226837060403701]",11,21
48,"[0.012197294663950798, 0.700479233300543]",30,59
49,"[0.020132388614663047, 0.6996805113032292]",30,59
50,"[0.028081187391978315, 0.6980830670815913]",30,60
51,"[0.03602998615955572, 0.6972843450842776]",30,59
52,"[0.04397878493687099, 0.6956869009761449]",29,57
53,"[0.05217427056382704, 0.6948881789788313]",30,58
54,"[0.06023270793449075, 0.6948881789788313]",29,57
55,"[0.0683322597947014, 0.6948881789788313]",29,56
56,"[0.0764592212983802, 0.6948881789788313]",28,55
57,"[0.08461359244552719, 0.6948881789788313]",28,55
58,"[0.09280907808222111, 0.6948881789788313]",28,54
59,"[0.10101826853578019, 0.6948881789788313]",27,53
60,"[0.1092548686425453, 0.6948881789788313]",27,54
61,"[0.11751887840251646, 0.6940894569815176]",26,51
62,"[0.13659599545638768, 0.6932907349842039]",26,51
63,"[0.14617566845339447, 0.6924920127598797]",26,51
64,"[0.15575534146013914, 0.691693290762566]",26,50
65,"[0.165376128936955, 0.691693290762566]",25,50
66,"[0.17499691641377088, 0.691693290762566]",25,49
67,"[0.18468622802360185, 0.6900958466544334]",25,49
68,"[0.1930598763866593, 0.6900958466544334]",24,48
69,"[0.20143352474971676, 0.6900958466544334]",23,46
70,"[0.2097797634595682, 0.6892971246571196]",23,46
71,"[0.2181122973428166, 0.6892971246571196]",23,45
72,"[0.22641742157285896, 0.6892971246571196]",23,45
73,"[0.23470884098603614, 0.6884984024327955]",22,42
74,"[0.24298655557261034, 0.6884984024327955]",21,42
75,"[0.2511272218931543, 0.6884984024327955]",21,42
76,"[0.25945975578614056, 0.687699680548987]",21,42
77,"[0.2677648800161829, 0.6869009585516732]",21,41
78,"[0.2760288897761541, 0.6861022365543595]",21,41
79,"[0.2842654898829192, 0.6853035145570459]",20,39
80,"[0.29246097551961314, 0.6845047923327217]",20,39
81,"[0.3006153466667601, 0.6845047923327217]",19,38
82,"[0.3087423081704389, 0.683706070335408]",19,38
83,"[0.31693779379739495, 0.682907348224589]",19,37
84,"[0.3250236408310026, 0.6821086262272753]",19,37
85,"[0.3331231926814754, 0.6813099042299616]",18,35
86,"[0.3412090397053451, 0.6805111820056374]",18,35
87,"[0.3493085915558179, 0.6805111820056374]",17,34
88,"[0.3573944385894255, 0.6797124600083237]",17,33
89,"[0.3654939904398983, 0.67891373801101]",17,32
90,"[0.37359354229037106, 0.67891373801101]",17,32
91,"[0.38159716036436053, 0.6781150160136963]",17,32
92,"[0.38954595913193796, 0.6781150160136963]",16,31
93,"[0.3974810530826502, 0.6773162940163826]",15,30
94,"[0.40541614703336243, 0.6765175719055636]",15,29
95,"[0.4133375361477338, 0.6765175719055636]",15,28
96,"[0.42127263009844607, 0.6757188499082499]",15,28
97,"[0.4291940192128174, 0.6749201276839257]",14,28
98,"[0.43711540833692664, 0.6749201276839257]",14,27
99,"[0.4450642071142419, 0.674121405686612]",14,27
100,"[0.45283484315545575, 0.674121405686612]",14,27
101,"[0.4606328888401378, 0.6733226838028036]",13,26
102,"[0.4684309345345577, 0.6725239618054899]",13,25
103,"[0.4762700946990488, 0.6725239618054899]",13,25
104,"[0.4841092548732778, 0.6717252395811657]",13,25
105,"[0.4919758246909749, 0.670926517583852]",12,24
106,"[0.4998698041618781, 0.6701277955865382]",12,23
107,"[0.507681554682901, 0.6693290735892246]",11,21
108,"[0.5167130346644763, 0.6685303514784057]",11,20
109,"[0.5257308098194485, 0.6677316294810919]",11,21
110,"[0.5347622898107617, 0.6669329072567678]",11,20
111,"[0.543780064965734, 0.666134185259454]",11,20
112,"[0.5527978401207062, 0.6653354632621403]",11,20
113,"[0.5618293201120194, 0.6645367412648266]",10,19
114,"[0.5709156193902689, 0.6637380192675129]",10,20
115,"[0.5787410747378948, 0.662939297156694]",9,18
116,"[0.586580234902386, 0.6621405751593803]",10,18
117,"[0.594446804720083, 0.6613418531620665]",9,18
118,"[0.6023270793643832, 0.6613418531620665]",9,18
119,"[0.6102210588352864, 0.6605431309377424]",9,16
120,"[0.6181424479593957, 0.659744409053934]",9,17
121,"[0.6260775419101079, 0.659744409053934]",8,15
122,"[0.6339852261978762, 0.659744409053934]",8,15
123,"[0.6419751394550006, 0.6581469648322961]",8,16
124,"[0.64997875752899, 0.6573482428349823]",8,14
125,"[0.6579686707666387, 0.6565495208376686]",7,14
126,"[0.665958584023763, 0.6557507988403549]",7,14
127,"[0.6739622020977525, 0.6557507988403549]",7,14
128,"[0.681952115345139, 0.6557507988403549]",7,12
129,"[0.6899420285925254, 0.6557507988403549]",7,12
130,"[0.6980141707897921, 0.6541533547322222]",6,11
131,"[0.7060863129967968, 0.6541533547322222]",6,11
132,"[0.7141447503674605, 0.6533546327349086]",6,10
133,"[0.7222168925744651, 0.6533546327349086]",6,12
134,"[0.7303027395983348, 0.6525559105105844]",6,11
135,"[0.7383885866222045, 0.6525559105105844]",6,10
136,"[0.7464881384824152, 0.6517571885132707]",6,11
137,"[0.754587690332888, 0.6517571885132707]",6,10
138,"[0.772047637974195, 0.650159744405138]",5,9
139,"[0.7813532144683549, 0.6493610224078243]",6,11
140,"[0.7906724957891179, 0.6485623004105106]",5,9
141,"[0.8000054819364839, 0.6485623004105106]",5,9
142,"[0.8093795825539212, 0.6477635784131969]",5,9
143,"[0.8187673879979613, 0.6469648561888727]",5,8
144,"[0.8282648320548258, 0.6453674123077505]",4,7
145,"[0.8364740225083849, 0.6453674123077505]",4,8
146,"[0.84471062261515, 0.6445686900834263]",4,8
147,"[0.8529472227219151, 0.6437699680861126]",4,6
148,"[0.8611975276552832, 0.6429712458617884]",4,7
149,"[0.8694478325886513, 0.64217252397798]",4,7
150,"[0.8777255471654877, 0.6413738019806663]",4,6
151,"[0.8860032617520619, 0.6405750799833526]",4,6
152,"[0.8941987473790179, 0.6397763579860388]",3,6
153,"[0.9023942330157119, 0.638178913764401]",3,4
154,"[0.9105486041628589, 0.6373801917670873]",3,4
155,"[0.9186755656665376, 0.6365814696562683]",2,4
156,"[0.9267614127001452, 0.6357827476589546]",3,4
157,"[0.9348061452539438, 0.6349840254346304]",3,4
158,"[0.9428097633181954, 0.6341853034373167]",2,4
159,"[0.9507859717487167, 0.633386581440003]",2,3
160,"[0.0, 1.0]",31,60
161,"[0.006742774133628064, 1.0]",30,59
162,"[0.013444433787447066, 1.0]",30,59
163,"[0.02018720792107513, 1.0]",30,59
164,"[0.02791672948247993, 1.0]",29,57
165,"[0.03568736552369379, 1.0]",29,57
166,"[0.043499116044716714, 0.9992012780026863]",30,58
167,"[0.05136568586241386, 0.9976038338945536]",29,57
168,"[0.05927337015992006, 0.9960063896729158]",29,57
169,"[0.06723587375410049, 0.9944089457917936]",29,57
170,"[0.07532172077797024, 0.9928115017971662]",28,55
171,"[0.08236600106765117, 0.9936102237944798]",28,54
172,"[0.08941028136706997, 0.9944089457917936]",27,53
173,"[0.09646826648335392, 0.9944089457917936]",27,53
174,"[0.10353995641650303, 0.9944089457917936]",27,53
175,"[0.11061164635939001, 0.9944089457917936]",27,52
176,"[0.11769704112888, 0.9936102237944798]",26,51
177,"[0.12479614072497303, 0.992012779572842]",26,51
178,"[0.13186783066786, 0.9936102237944798]",26,51
179,"[0.1391725026435226, 0.9904153354647093]",26,51
180,"[0.14644976496597917, 0.9880191692457577]",26,51
181,"[0.1536722079917615, 0.9856230032538166]",25,50
182,"[0.16088094618120297, 0.984025559145684]",25,50
183,"[0.1680348650739702, 0.9832268371483702]",25,49
184,"[0.17516137432326925, 0.9832268371483702]",25,49
185,"[0.18223306426615624, 0.9832268371483702]",24,47
186,"[0.1894555072822007, 0.9824281149240461]",24,47
187,"[0.19769210738896584, 0.9816293929267323]",23,46
188,"[0.20596982197554, 0.9808306709294187]",24,46
189,"[0.2142886510321854, 0.9800319488185997]",23,45
190,"[0.22264859456863983, 0.9784345048239723]",23,45
191,"[0.23104965258490334, 0.9776357828266586]",23,45
192,"[0.23949182507123803, 0.9768370608293448]",23,44
193,"[0.2478654734342955, 0.976038338718526]",22,43
194,"[0.2552249647163702, 0.9752396167212123]",22,42
195,"[0.2626255704685161, 0.9744408944968881]",21,42
196,"[0.270039881047265, 0.9736421724995744]",21,41
197,"[0.27748160127921995, 0.9728434505022606]",20,40
198,"[0.2849644359812461, 0.9720447285049469]",20,39
199,"[0.29246097551961314, 0.971246006394128]",20,39
200,"[0.29998492469171045, 0.9704472843968143]",20,38
201,"[0.3074129400970624, 0.9696485623995006]",20,38
202,"[0.3148683651556204, 0.9688498404021869]",19,38
203,"[0.3223511998576465, 0.9680511181778627]",19,38
204,"[0.3298340345694105, 0.967252396180549]",19,37
205,"[0.3373442789246427, 0.96645367406973]",19,37
206,"[0.3448545232798749, 0.9656549520724164]",18,36
207,"[0.3523921772883131, 0.9648562300751026]",18,35
208,"[0.3599435361233544, 0.9640575080777889]",18,34
209,"[0.3675908287348789, 0.9632587860804752]",17,34
210,"[0.37510107309984897, 0.9624600639696562]",17,34
211,"[0.38265243192515236, 0.9616613419723425]",17,33
212,"[0.39021749558679664, 0.9608626199750289]",17,32
213,"[0.3978099688919091, 0.9600638977507047]",16,32
214,"[0.40542985185022756, 0.959265175753391]",16,32
215,"[0.41307714446175214, 0.958466453642572]",15,30
216,"[0.4207518467264827, 0.9576677316452583]",15,29
217,"[0.42846766347102233, 0.9560702876506308]",15,29
218,"[0.43610125125594384, 0.9552715656533172]",15,28
219,"[0.44374854386746837, 0.954472843428993]",14,28
220,"[0.45139583647899295, 0.954472843428993]",15,28
221,"[0.4590705387437235, 0.9536741214316793]",14,27
222,"[0.4667452409987162, 0.9528753994343656]",14,27
223,"[0.47443364809004984, 0.9520766773235466]",14,26
224,"[0.4821220551813834, 0.9512779553262329]",13,25
225,"[0.48992010087580334, 0.9496805111045951]",13,26
226,"[0.49770444173388234, 0.9488817891072814]",13,25
227,"[0.5054887826016993, 0.9472843452261591]",12,23
228,"[0.5132594186429131, 0.946485623001835]",12,24
229,"[0.5210300546841269, 0.9456869010045212]",12,22
230,"[0.5287869858987377, 0.9448881790072076]",11,22
231,"[0.5365439171133486, 0.9440894568963887]",12,22
232,"[0.5443008483279594, 0.9432907348990749]",11,22
233,"[0.5521948277988626, 0.9432907348990749]",11,21
234,"[0.5600202831464886, 0.9424920126747508]",11,20
235,"[0.5678457384843767, 0.941693290677437]",11,20
236,"[0.5756711938320026, 0.9408945686801233]",10,20
237,"[0.5835240588230968, 0.9400958466828097]",10,20
238,"[0.5913632189973257, 0.939297124685496]",10,19
239,"[0.5992297888150229, 0.938498402574677]",10,19
240,"[0.6070826538061169, 0.938498402574677]",10,18
241,"[0.6150862718801064, 0.9376996805773633]",9,17
242,"[0.6230076610042157, 0.9369009585800495]",9,17
243,"[0.630929050118587, 0.9361022363557254]",9,17
244,"[0.6388778488959023, 0.9353035143584116]",9,17
245,"[0.6468266476634797, 0.9345047922475928]",9,17
246,"[0.654789151267398, 0.9337060702502791]",8,15
247,"[0.6627653596881815, 0.9329073482529653]",8,16
248,"[0.6707415681089649, 0.9321086262556516]",8,15
249,"[0.6787451861829544, 0.9313099042583379]",8,14
250,"[0.6867488042569438, 0.9297124601502053]",8,14
251,"[0.6947661271575364, 0.9289137381528916]",8,14
252,"[0.7027971548847319, 0.9281150159285674]",7,14
253,"[0.7108555922553956, 0.9273162939312537]",7,14
254,"[0.7189140296357972, 0.925718849823121]",7,12
255,"[0.7269998766596669, 0.9249201278258073]",7,13
256,"[0.7350994285101398, 0.9241214058284936]",7,13
257,"[0.7431715707171443, 0.9225239616068557]",6,11
258,"[0.751230008087808, 0.921725239609542]",6,11
259,"[0.7593295599382808, 0.9209265176122283]",7,12
260,"[0.7674291117984914, 0.9201277955014093]",5,10
261,"[0.7755560732924324, 0.9193290735040957]",6,10
262,"[0.7837104444493173, 0.918530351506782]",6,11
263,"[0.7918785204328052, 0.9177316295094682]",6,8
264,"[0.8000603012331582, 0.9169329073986493]",6,11
265,"[0.8080639193071476, 0.9153354634040218]",6,11
266,"[0.8174517247609258, 0.9145367411796977]",5,9
267,"[0.8268258253783629, 0.9129392971850703]",6,11
268,"[0.8362136308224032, 0.9121405750742514]",5,8
269,"[0.8455877314398405, 0.9105431310796239]",5,8
270,"[0.8549618320670155, 0.9097444090823102]",4,7
271,"[0.8643496375110558, 0.9089456870849965]",5,9
272,"[0.8738196719147141, 0.9081469648606724]",4,8
273,"[0.8821247961447565, 0.9073482428633586]",4,8
274,"[0.8904436252014019, 0.905750798755226]",4,7
275,"[0.8987761590943881, 0.9049520767579122]",3,8
276,"[0.9071086929776365, 0.9041533545335881]",4,6
277,"[0.9154686365140909, 0.9041533545335881]",4,7
278,"[0.9238422848674105, 0.9033546325362743]",5,9
279,"[0.932229638057071, 0.9033546325362743]",3,6
280,"[0.9405621719403194, 0.9009584666578385]",4,6
281,"[0.9489906396097889, 0.9001597444335143]",4,4
282,"[0.9574328120961236, 0.8985623003253816]",4,7
283,"[0.9659023942356644, 0.897763578328068]",3,4
284,"[0.9743993860284113, 0.8969648563307543]",3,4
285,"[0.982910082647761, 0.8961661341064301]",2,6
286,"[0.991448188910579, 0.8945686901118026]",4,4
287,"[1.0, 0.8937699681144889]",3,4
288,"[0.5792070388034462, 0.14217252392122737]",10,18
289,"[0.5692573355076335, 0.1413738020374189]",10,19
290,"[0.5592528129151466, 0.1413738020374189]",10,20
291,"[0.5493305192822778, 0.1405750800401052]",11,20
292,"[0.5393534063332592, 0.1405750800401052]",11,22
293,"[0.5293214740973041, 0.1405750800401052]",11,21
294,"[0.5192484273718022, 0.13977635781578102]",12,23
295,"[0.509134266176229, 0.13977635781578102]",12,23
296,"[0.49896528568398163, 0.1389776358184673]",13,25
297,"[0.4887414858853222, 0.1389776358184673]",13,26
298,"[0.4785450957301309, 0.1389776358184673]",14,27
299,"[0.4682664766250593, 0.1389776358184673]",14,27
300,"[0.4579741527031226, 0.1389776358184673]",15,28
301,"[0.447681828771448, 0.1389776358184673]",15,29
302,"[0.43736209519630526, 0.1389776358184673]",15,30
303,"[0.42704236162116255, 0.1389776358184673]",16,32
304,"[0.41669521839281376, 0.13977635781578102]",16,31
305,"[0.4063343703378619, 0.1405750800401052]",17,34
306,"[0.3959735222829101, 0.1405750800401052]",17,32
307,"[0.38566749352463253, 0.1413738020374189]",18,35
308,"[0.37533405512288676, 0.14217252392122737]",19,36
309,"[0.36498691189453797, 0.14376996791585478]",19,37
310,"[0.3546260638395861, 0.14456869014017895]",19,37
311,"[0.3442378061314283, 0.1461661342483116]",20,39
312,"[0.3338358436064053, 0.14776357824293904]",20,39
313,"[0.3234201762450414, 0.14936102246457691]",21,41
314,"[0.3130867378432956, 0.14936102246457691]",22,42
315,"[0.3026847753085347, 0.15095846645920433]",22,42
316,"[0.2922828127835117, 0.15335463256465068]",22,42
317,"[0.2818945550753538, 0.15495207678628856]",22,44
318,"[0.271520002193799, 0.15654952089442123]",23,46
319,"[0.2611454493122442, 0.15814696488904864]",24,47
320,"[0.25079830608389536, 0.15974440888367605]",24,48
321,"[0.2404511628555466, 0.1613418529918087]",25,49
322,"[0.2300492003305236, 0.16214057521613287]",26,50
323,"[0.2094097331705002, 0.16613418531620666]",26,51
324,"[0.19906258994215142, 0.16853035153515825]",26,51
325,"[0.1887017418871996, 0.1701277956432909]",26,51
326,"[0.1783271890056448, 0.1717252396379183]",28,54
327,"[0.1679252264708839, 0.17412140574336468]",28,55
328,"[0.15750955911925787, 0.1757188497379921]",29,56
329,"[0.14716241589090906, 0.17651757196231627]",29,57
330,"[0.13681527266256027, 0.1781150160704489]",29,57
331,"[0.12646812943421148, 0.17891373806776262]",30,59
332,"[0.11610728137925967, 0.18051118206239003]",30,60
333,"[0.10573272849770483, 0.1821086262840279]",30,60
334,"[0.6736881055851678, 0.9520766773235466]",8,14
335,"[0.6865706415305803, 0.9512779553262329]",8,14
336,"[0.699439472639652, 0.9504792331019087]",7,14
337,"[0.7123083037584614, 0.9496805111045951]",7,13
338,"[0.7251908396941361, 0.9488817891072814]",7,12
339,"[0.7381144901193577, 0.9472843452261591]",6,11
340,"[0.7528334726737692, 0.946485623001835]",6,10
341,"[0.7675387504015777, 0.9456869010045212]",6,10
342,"[0.7822166184761802, 0.9448881790072076]",6,11
343,"[0.7968807817241796, 0.9432907348990749]",6,11
344,"[0.8115038305021078, 0.9424920126747508]",5,10
345,"[0.826126879280036, 0.941693290677437]",5,9
346,"[0.8407088135781552, 0.939297124685496]",5,9
347,"[0.8534817109107435, 0.938498402574677]",5,8
348,"[0.8662683130796729, 0.9376996805773633]",4,7
349,"[0.8790686200654673, 0.9369009585800495]",5,8
350,"[0.8918689270512616, 0.9361022363557254]",5,9
351,"[0.904682938863659, 0.9353035143584116]",4,6
352,"[0.9175106555026595, 0.9353035143584116]",4,6
353,"[0.9303246673150569, 0.9345047922475928]",4,7
354,"[0.9431797936072635, 0.9337060702502791]",3,6
355,"[0.9577343182619144, 0.9321086262556516]",4,7
356,"[0.9723025477334305, 0.9305111821475189]",4,7
357,"[0.9868707772049466, 0.9289137381528916]",2,4
358,"[0.9157564378532786, 0.3706070288870812]",3,4
359,"[0.903545438352987, 0.3714057507708897]",3,4
360,"[0.8913207340358301, 0.3722044727682034]",3,6
361,"[0.8790549152388643, 0.3722044727682034]",4,7
362,"[0.8667616867984301, 0.3730031949925276]",4,8
363,"[0.8544547535216551, 0.3730031949925276]",5,9
364,"[0.842106705774809, 0.3730031949925276]",4,6
365,"[0.8297723628545659, 0.374600638987155]",5,8
366,"[0.8174517247609258, 0.374600638987155]",5,8
367,"[0.8051036770043417, 0.374600638987155]",5,8
368,"[0.7927556292574955, 0.3753993609844687]",6,11
369,"[0.7803801718671812, 0.3761980830952876]",6,10
370,"[0.767991009640526, 0.3761980830952876]",6,11
371,"[0.7555744377606647, 0.37699680509260136]",6,10
372,"[0.7431578658905413, 0.3777955273169255]",6,11
373,"[0.7308098181436952, 0.37859424931423924]",6,11
374,"[0.7183932462638338, 0.3793929713115529]",6,12
375,"[0.7059903792203135, 0.3793929713115529]",7,14
376,"[0.6935601025138491, 0.38019169330886665]",8,14
377,"[0.6811298258171228, 0.3809904153061804]",8,14
378,"[0.6686995491106584, 0.3809904153061804]",8,15
379,"[0.6562555675873291, 0.3809904153061804]",8,16
380,"[0.6437978812373966, 0.3817891374169993]",9,17
381,"[0.631299080407655, 0.38338658141162674]",9,16
382,"[0.6170597667453978, 0.38338658141162674]",9,18
383,"[0.6028067482565376, 0.3841853036359509]",10,20
384,"[0.5885263201242091, 0.3849840256332646]",10,20
385,"[0.5742184823289368, 0.38578274774408355]",11,20
386,"[0.5598969397167992, 0.38578274774408355]",11,21
387,"[0.5455616922780587, 0.38658146974139723]",11,22
388,"[0.5311990351861122, 0.38817891373602464]",12,23
389,"[0.5186317102330934, 0.38817891373602464]",12,24
390,"[0.5060780900969398, 0.3889776357333384]",13,26
391,"[0.493510765143921, 0.3897763578441573]",13,26
392,"[0.48094344019090224, 0.39057507984147105]",14,27
393,"[0.46838982005474866, 0.39137380183878473]",15,28
394,"[0.45582249510172984, 0.39217252406310893]",15,28
395,"[0.4432551701487111, 0.39217252406310893]",16,32
396,"[0.43060561624581206, 0.3929712460604226]",16,32
397,"[0.4179971768129842, 0.39376996817124155]",17,32
398,"[0.4053887373801564, 0.3945686901685553]",17,34
399,"[0.39276659312072554, 0.39536741216586896]",17,34
400,"[0.3801581536878977, 0.3961661341631827]",19,37
401,"[0.3675360094284668, 0.39696485616049637]",19,36
402,"[0.3549138651787738, 0.39856230038213425]",19,37
403,"[0.342291720919343, 0.3993610222659428]",20,38
404,"[0.3295325284036198, 0.4001597444902669]",20,40
405,"[0.3169103841539268, 0.40095846648758066]",21,42
406,"[0.3042745350678929, 0.4017571887119048]",21,42
407,"[0.29162498115525604, 0.403354632593027]",22,43
408,"[0.27896172242575396, 0.4041533545903407]",23,46
409,"[0.26627105404304585, 0.40575079881197856]",24,47
410,"[0.25358038566033775, 0.4065495208092923]",24,47
411,"[0.24087601245102666, 0.40734824280660603]",25,50
412,"[0.2282675730181988, 0.40734824280660603]",25,50
413,"[0.21376786766995992, 0.40894568691473865]",27,53
414,"[0.199254457495118, 0.40974440913906285]",26,51
415,"[0.1847684569734821, 0.40974440913906285]",26,51
416,"[0.17026875163498106, 0.40974440913906285]",27,54
417,"[0.1557827511133452, 0.40894568691473865]",27,53
418,"[0.14128304576510628, 0.40734824280660603]",28,55
419,"[0.12671481629359013, 0.403354632593027]",29,57
420,"[0.11402414790114418, 0.4001597444902669]",29,58
421,"[0.10133347951843608, 0.39536741216586896]",30,59
422,"[0.08861540148252194, 0.39057507984147105]",30,60
423,"[0.03231597846174869, 0.7468051118688637]",30,60
424,"[0.04005920484975651, 0.7468051118688637]",30,59
425,"[0.0477887264111613, 0.7460063898715499]",29,57
426,"[0.05551824798230397, 0.7452076678742362]",29,57
427,"[0.06323406471710574, 0.744408945649912]",29,58
428,"[0.07093617663504236, 0.7436102236525983]",29,57
429,"[0.07867940302305018, 0.7436102236525983]",29,57
430,"[0.08651856318754128, 0.7428115015417794]",29,57
431,"[0.09435772336177024, 0.7420127795444657]",28,55
432,"[0.1021694738730553, 0.741214057547152]",27,54
433,"[0.10998122439407823, 0.7404153355498383]",28,54
434,"[0.11777927007876027, 0.7396166135525245]",26,52
435,"[0.12556361094657714, 0.7388178913282004]",27,52
436,"[0.133334246987791, 0.7380191693308866]",26,51
437,"[0.1413378650617805, 0.7380191693308866]",26,51
438,"[0.15667356476463865, 0.7356230032254403]",26,51
439,"[0.16440308632604342, 0.7348242810011162]",26,51
440,"[0.17216001754065427, 0.7332268371199939]",25,49
441,"[0.17994435840847114, 0.7324281151226802]",25,48
442,"[0.1877698137560971, 0.7308306709010424]",25,49
443,"[0.19563638357379423, 0.7300319489037287]",24,48
444,"[0.20326997135871575, 0.7292332269064149]",23,46
445,"[0.21105431222653265, 0.7292332269064149]",23,46
446,"[0.21882494826774648, 0.728434504795596]",23,45
447,"[0.2266229939621664, 0.7276357827982823]",23,45
448,"[0.23442103964684843, 0.7268370608009685]",23,45
449,"[0.24221908534126835, 0.7260383385766445]",23,42
450,"[0.25003083586229125, 0.7252396165793307]",22,43
451,"[0.2578425863735763, 0.724440894582017]",22,42
452,"[0.2656817465478053, 0.7236421725847033]",21,41
453,"[0.2735483163655024, 0.724440894582017]",21,41
454,"[0.2814148861831996, 0.724440894582017]",20,40
455,"[0.28929516082749973, 0.724440894582017]",20,39
456,"[0.2971754354717999, 0.724440894582017]",20,38
457,"[0.30505571011610005, 0.7236421725847033]",20,39
458,"[0.31294968958700325, 0.7236421725847033]",20,38
459,"[0.32085737388450947, 0.7228434504738843]",19,37
460,"[0.3287376485288096, 0.7220447284765706]",19,36
461,"[0.3366590376529188, 0.721246006479257]",18,35
462,"[0.34460783642049625, 0.721246006479257]",18,34
463,"[0.35257034002441456, 0.7204472842549328]",17,34
464,"[0.360546548445198, 0.7204472842549328]",17,34
465,"[0.3685501665191875, 0.7204472842549328]",17,32
466,"[0.37655378459317695, 0.7204472842549328]",17,33
467,"[0.3845848123203725, 0.7204472842549328]",17,32
468,"[0.3924376773114666, 0.7204472842549328]",16,31
469,"[0.4004412953854561, 0.7204472842549328]",16,32
470,"[0.4084449134594456, 0.7196485623711243]",15,29
471,"[0.4164759411866411, 0.7196485623711243]",15,28
472,"[0.4245069689040988, 0.7196485623711243]",15,28
473,"[0.43253799663129433, 0.7196485623711243]",15,28
474,"[0.4405827291850929, 0.7196485623711243]",14,28
475,"[0.4486411665557566, 0.7196485623711243]",14,27
476,"[0.4567407184062294, 0.7180511183764968]",14,26
477,"[0.4659640659505091, 0.7172523961521727]",13,26
478,"[0.47521482313825697, 0.7164536741548589]",13,24
479,"[0.48447928516234573, 0.7156549521575453]",12,24
480,"[0.4937848616565057, 0.7148562300467263]",12,24
481,"[0.5031041429675308, 0.7140575080494126]",12,23
482,"[0.5124508339414999, 0.7132587860520989]",12,24
483,"[0.5217701152622629, 0.711661341830461]",11,22
484,"[0.5290473775847194, 0.7108626198331474]",11,21
485,"[0.536310935080573, 0.7100638978358336]",11,21
486,"[0.5435881974127674, 0.7092651758385199]",10,20
487,"[0.550879164561827, 0.7076677317303872]",11,20
488,"[0.5581564268842836, 0.706869009506063]",10,20
489,"[0.5654473940333431, 0.7060702875087493]",10,19
490,"[0.5727520660090057, 0.7044728434006167]",10,19
491,"[0.5800430331580654, 0.703674121403303]",9,18
492,"[0.5873888196037992, 0.703674121403303]",9,17
493,"[0.5968451491808545, 0.7020766774086756]",9,18
494,"[0.6063151835845129, 0.700479233300543]",9,17
495,"[0.6157715131518303, 0.6988817890789051]",9,17
496,"[0.6252415475554887, 0.6972843450842776]",9,17
497,"[0.6346978771228061, 0.6956869009761449]",8,15
498,"[0.6441679115264646, 0.6940894569815176]",8,15
499,"[0.6535968314503138, 0.6924920127598797]",8,14
500,"[0.6619430701504274, 0.690894568651747]",8,14
501,"[0.6703030136966197, 0.6900958466544334]",7,14
502,"[0.6786629572330741, 0.6884984024327955]",7,14
503,"[0.6870366055961316, 0.6869009585516732]",7,14
